,Injury,Fatal (Y/N)
830,Bitten on right hand & wrist,
6122,Probable drowning & scavenging,
3719,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",
6019,Death preceded shark involvement,
5481,Cause of death may have been downing,
4521,Human hand recovered from 2.4 m [8'] tiger shark,
4519,"No injury, chased by 3 sharks",
5486,"""Bad wound in the leg"" - 7-ft shark caught in the bath same day",
5454,"Disappeared, but shark involvement unconfirmed",
2141,"Cut foot, but injury caused by fishing line, not the shark",
1178,"Reports said a shark attacked the dinghy, but Vickery said it did not",
1941,Remains recovered from gut of a  3.7 m [12'] tiger shark,
4634,Probable drowning & scavenging,
2055,Probable drowning,
1989,"Missing, thought to have been taken by a shark",
5500,Thought to have been taken by a shark,
2410,Shark scavenged on his corpse,
839,Killed by a shark or crocodile.,
5580,Drowning may mav preceded attack,
5590,"Reported fatal, but this is a questionable incident",
874,FATAL,
5671,"Fatal, probable drowning",
2499,No injury ,
4480,"Szot's right hand found in a 4.5' [14.5'] tiger shark caught 3/9/1950 at Safety Bay, south of Freemantle. His body, with bullet wound in head & right hand missing, washed shore - an apparent suicide",
967,Death may have been due to drowning,
953,Lacerations to both legs,
5501,Reported to have been killed by a shark but 2 years later he was found very much alive,
2201,"Missing, thought to have been taken by a shark",
4501,Fatal or drowning or scavenging,
2216,5 m white shark obsrved feeding on remains 6 days later,
5499,FATAL,
4453,Body found after a week in the water apparently bitten by shark/s,
4890,Disappeared & his torn clothing washed ashore,
1456,8 shark-bitten bodies washed ashore,
5089,"Later found to be fiction, never happened",
4910,Captive tiger shark regurgitated his arm in the Coogee Aquarium,
4924,No injury; onlookers saw 10' shark heading for him and lifted him ashore,
4963,"No injury, ""shark chased him ashore""",
1661,"No injury, shark made threat displays & diver fended it off with his speargun",
5024,Death may have been due to drowning,
1569,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",
1696,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",
4716,"Cause of death was drowning, shark bites were post mortem",
1304,Lacerations to left forearm,
1866,"Drowned, his remains were found in a 3m [10'], 368 kg [811-lb] tiger shark",
4782,Abrasion above knee ,
4739,Shark involvement prior to death unconfirmed,
1273,2 puncture wounds to leg,
1893,"No injury, fell off ski after possibly colliding with  a shark",
5166,Human arm found in shark,
1407,Shark involvement prior to death unconfirmed,
4858,"15' shark seen with the man's body in its mouth, but shark involvement prior to death was not confirmed",
1433,"Killed by a stingray, not a shark - a tragedy for his family and marine wildlife",
4853,Shark involvement prior to death was not confirmed,
4852,His body was recovered 2 days later but shark involvement prior to death was not confirmed,
5208,Death may have been due to drowning,
5218,"FATAL, but shark involvement prior to death unconfirmed",
5230,"Disappeared whiile swimming alone, body parts recovered, but shark involvement prior to death unconfirmed",
4824,Superficial lacerations on feet & toes,
5185,Abrasions,
1805,Foot lacerated,
1381,Shark involvement prior to death unconfirmed,
5189,Probable drowning & scavenging,
5196,FATAL,
5197,"He failed to return, his body was recovered 11/9/1922; chest & abdomen had been bitten by shark/s",
768,Cause of death was drowning & preceded shark involvement,
3780,"Skeletonized, except for head & feet. Possible drowning / scavenging",
307,"No injury, knocked off board",
6071,"""Drowned, 2 days later his head was bitten off by a shark""",
3766,"9' shark in area when he disappeared, body not recovered",
6035,Torso bitten but may have been postmortem,
3700,Body not recovered  / May have drowned prior to shark involvement,
6088,"Drowned, no shark involvement",
269,"No injury, but sharks repeatedly hit their fins and guns",
5951,Presumed FATAL,
456,Board snapped in two,
5933,Thought to have been taken by a shark. Body was not recovered,
3955,"Swept off rocks & presumed to have drowned, shark seen in area",
6005,"No injury & although reported as an attack, it  was simply an encounter",
6014,Shark involvement prior to death was not confirmed,
3853,"Remains recovered from 10' shark, but shark involvement prior to death unconfirmed",
382,Injury to hand,
3881,Shark involvement prior to death unconfirmed,
3517,"Disappeared, no trace of men or equipment, shark attack considered",
3441,No details,
3436,No injury,
189,Minor injuries to foot & toes,
187,"No attack, shark made a threat display",
3148,"Missing, believed taken by a shark",
3156,Shark involvement prior to death was unconfirmed,
3162,"Missing, believed taken by a shark, but not confirmed",
3532,"Fatal or scavenging by ""a pack of sharks""",
3551," The 2.9 m [9.5'] shark never made contact with him. No attack, no injury.",
5805,Shark involvement suspected but not confirmed,
2651,"Swept out to sea, feared taken by shark",
576,"Injuries to wrist/hand by a mackerel, not a shark",
