,Activity,Age,Country,Fatal (Y/N),Sex,Type,Decade
0,Boogie Boarding,57,USA,N,F,Boat,2010
1,Several,11,USA,N,F,Unprovoked,2010
2,Surfing,48,USA,N,M,Not confirmed,2010
7,Fishing,52,USA,N,M,Unprovoked,2010
8,Several,15,USA,N,M,Unprovoked,2010
9,Several,12,USA,N,M,Unprovoked,2010
11,Boogie Boarding,10,USA,N,M,Unprovoked,2010
12,Swimming,10,USA,N,M,Unprovoked,2010
25,Boogie Boarding,29,USA,N,M,Unprovoked,2010
35,Several,25,USA,N,M,Unprovoked,2010
53,Surfing,54,USA,N,F,Unprovoked,2010
54,Surfing,35,USA,N,F,Unprovoked,2010
60,Several,25,USA,N,M,Unprovoked,2010
61,Surfing,14,USA,N,F,Unprovoked,2010
67,Several,26,USA,N,M,Unprovoked,2010
69,Surfing,17,USA,N,M,Unprovoked,2010
70,Swimming,60,USA,N,F,Unprovoked,2010
73,Swimming,26,USA,N,M,Unprovoked,2010
74,Surfing,54,USA,N,M,Unprovoked,2010
75,Diving,40,USA,N,F,Unprovoked,2010
77,Surfing,26,USA,N,M,Unprovoked,2010
79,Surfing,33,USA,,M,Not confirmed,2010
80,Surfing,26,USA,N,M,Unprovoked,2010
81,Surfing,26,USA,N,M,Unprovoked,2010
83,Surfing,28,USA,N,M,Unprovoked,2010
87,Surfing,18,USA,N,M,Unprovoked,2010
93,Swimming,26,USA,N,M,Unprovoked,2010
94,Swimming,26,USA,N,F,Unprovoked,2010
95,Surfing,17,USA,N,M,Unprovoked,2010
97,Fishing,3,USA,N,F,Unprovoked,2010
100,Boogie Boarding,69,USA,N,M,Unprovoked,2010
102,Swimming,13,USA,N,M,Unprovoked,2010
104,Fishing,34,USA,N,M,Provoked,2010
105,Several,26,USA,N,M,Boat,2010
106,Several,15,USA,N,M,Unprovoked,2010
107,Swimming,10,USA,,M,Not confirmed,2010
108,,12,USA,N,F,Unprovoked,2010
112,,26,USA,N,F,Unprovoked,2010
114,,40,USA,N,F,Unprovoked,2010
115,Swimming,8,USA,,F,Not confirmed,2010
116,Several,40,USA,N,M,Boat,2010
118,Surfing,26,USA,N,M,Unprovoked,2010
120,Several,26,USA,N,M,Boat,2010
121,Swimming,46,USA,N,M,Unprovoked,2010
125,Fishing,26,USA,,M,Not confirmed,2010
126,Swimming,16,USA,N,F,Unprovoked,2010
127,Surfing,26,USA,N,M,Unprovoked,2010
128,Swimming,14,USA,N,F,Unprovoked,2010
135,Surfing,19,USA,N,M,Unprovoked,2010
137,Several,26,USA,N,M,Unprovoked,2010
139,Several,20,USA,N,F,Provoked,2010
140,Several,26,USA,N,M,Unprovoked,2010
145,Surfing,18,USA,,F,Not confirmed,2010
146,Swimming,26,USA,N,F,Unprovoked,2010
148,Surfing,33,USA,N,F,Unprovoked,2010
151,Several,26,USA,,F,Not confirmed,2010
